#{"t_start": 1585304506.6601608, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.707305
10.0,10,0.71758
33.0,33,0.747403
15.0,15,0.760623
16.0,16,0.775212
17.0,17,0.790979
20.0,20,0.804378
26.0,26,1.038017
23.0,23,1.052063
45.0,45,1.07429
21.0,21,1.083799
18.0,18,1.093638
17.0,17,1.154404
14.0,14,1.163637
21.0,21,1.177495
18.0,18,1.187403
15.0,15,1.197876
24.0,24,1.210872
15.0,15,1.219828
24.0,24,1.286302
21.0,21,1.29497
43.0,43,1.32095
12.0,12,1.325759
41.0,41,1.388538
15.0,15,1.401529
73.0,73,1.438738
25.0,25,1.451472
13.0,13,1.510907
17.0,17,1.527127
32.0,32,1.553011
40.0,40,1.578313
43.0,43,1.65074
18.0,18,1.659136
27.0,27,1.674995
34.0,34,1.693109
39.0,39,1.714602
11.0,11,1.763836
29.0,29,1.783314
56.0,56,1.820415
14.0,14,1.827407
34.0,34,1.89764
30.0,30,1.911988
22.0,22,1.921931
40.0,40,1.943514
40.0,40,2.009791
23.0,23,2.027195
48.0,48,2.054355
10.0,10,2.058753
26.0,26,2.073955
18.0,18,2.136559
13.0,13,2.146768
54.0,54,2.179688
58.0,58,2.258707
35.0,35,2.283245
30.0,30,2.297233
26.0,26,2.314646
36.0,36,2.383297
36.0,36,2.408853
20.0,20,2.421772
40.0,40,2.443996
62.0,62,2.532094
33.0,33,2.549901
16.0,16,2.559901
57.0,57,2.6388
22.0,22,2.653707
40.0,40,2.67656
25.0,25,2.692135
35.0,35,2.760858
31.0,31,2.777219
43.0,43,2.799432
30.0,30,2.814133
30.0,30,2.882205
33.0,33,2.904774
72.0,72,2.939533
100.0,100,3.051703
69.0,69,3.143334
81.0,81,3.19222
60.0,60,3.279453
32.0,32,3.297787
39.0,39,3.319999
27.0,27,3.381223
114.0,114,3.48425
94.0,94,3.548048
59.0,59,3.629409
92.0,92,3.683708
52.0,52,3.76124
178.0,178,3.909166
148.0,148,4.038677
165.0,165,4.241923
147.0,147,4.38075
173.0,173,4.529974
94.0,94,4.63462
195.0,195,4.78638
163.0,163,4.974096
105.0,105,5.082253
95.0,95,5.15735
55.0,55,5.246839
94.0,94,5.299114
95.0,95,5.404868
267.0,267,5.666822
235.0,235,5.893541
37.0,37,5.913686
132.0,132,6.041249
51.0,51,6.130352
191.0,191,6.294576
127.0,127,6.423703
18.0,18,6.435537
329.0,329,6.774724
115.0,115,6.886461
122.0,122,7.000264
147.0,147,7.131365
77.0,77,7.221107
141.0,141,7.358467
371.0,371,7.712571
133.0,133,7.849326
136.0,136,7.980912
203.0,203,8.17217
107.0,107,8.310053
189.0,189,8.545357
224.0,224,8.756485
53.0,53,8.841895
147.0,147,9.008694
118.0,118,9.137372
215.0,215,9.389862
223.0,223,9.589602
146.0,146,9.734639
96.0,96,9.843865
145.0,145,9.966208
92.0,92,10.06027
229.0,229,10.30881
155.0,155,10.446697
199.0,199,10.657263
108.0,108,10.719533
168.0,168,14.007333
